subdivision,year,month,monthly_rainfall_mm,monthly_normal_mm,anomaly_mm,pct_of_normal
KONKAN & GOA,1992,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1993,MAR,0.6,1.374782608695652,-0.7747826086956521,43.643263757115754
KONKAN & GOA,1994,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1995,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1996,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1997,MAR,0.8,1.374782608695652,-0.574782608695652,58.19101834282101
KONKAN & GOA,1998,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1999,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2000,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2001,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2002,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,2003,MAR,0.8,1.374782608695652,-0.574782608695652,58.19101834282101
KONKAN & GOA,2004,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2005,MAR,1.9,1.374782608695652,0.5252173913043479,138.2036685641999
KONKAN & GOA,2006,MAR,9.9,1.374782608695652,8.525217391304349,720.11385199241
KONKAN & GOA,2007,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,2008,MAR,31.5,1.374782608695652,30.125217391304346,2291.271347248577
KONKAN & GOA,2009,MAR,0.3,1.374782608695652,-1.074782608695652,21.821631878557877
KONKAN & GOA,2010,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2011,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2012,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,2013,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,2014,MAR,1.8,1.374782608695652,0.425217391304348,130.92979127134728
KONKAN & GOA,2015,MAR,36.8,1.374782608695652,35.42521739130434,2676.786843769766
MADHYA MAHARASHTRA,1901,MAR,7.7,3.596521739130435,4.103478260869565,214.09574468085106
MADHYA MAHARASHTRA,1902,MAR,0.1,3.596521739130435,-3.496521739130435,2.7804642166344293
MADHYA MAHARASHTRA,1903,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1904,MAR,1.7,3.596521739130435,-1.8965217391304352,47.2678916827853
MADHYA MAHARASHTRA,1905,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1906,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1907,MAR,1.5,3.596521739130435,-2.096521739130435,41.706963249516434
MADHYA MAHARASHTRA,1908,MAR,4.7,3.596521739130435,1.103478260869565,130.68181818181816
MADHYA MAHARASHTRA,1909,MAR,0.7,3.596521739130435,-2.896521739130435,19.463249516441003
MADHYA MAHARASHTRA,1910,MAR,1.0,3.596521739130435,-2.596521739130435,27.80464216634429
MADHYA MAHARASHTRA,1911,MAR,2.2,3.596521739130435,-1.396521739130435,61.170212765957444
MADHYA MAHARASHTRA,1912,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1913,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1914,MAR,0.3,3.596521739130435,-3.2965217391304353,8.341392649903288
MADHYA MAHARASHTRA,1915,MAR,13.9,3.596521739130435,10.303478260869564,386.4845261121856
MADHYA MAHARASHTRA,1916,MAR,0.4,3.596521739130435,-3.1965217391304352,11.121856866537717
MADHYA MAHARASHTRA,1917,MAR,4.8,3.596521739130435,1.2034782608695647,133.4622823984526
MADHYA MAHARASHTRA,1918,MAR,2.6,3.596521739130435,-0.9965217391304351,72.29206963249516
MADHYA MAHARASHTRA,1919,MAR,1.2,3.596521739130435,-2.396521739130435,33.36557059961315
MADHYA MAHARASHTRA,1920,MAR,0.1,3.596521739130435,-3.496521739130435,2.7804642166344293
MADHYA MAHARASHTRA,1921,MAR,0.3,3.596521739130435,-3.2965217391304353,8.341392649903288
MADHYA MAHARASHTRA,1922,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1923,MAR,32.7,3.596521739130435,29.10347826086957,909.2117988394584
MADHYA MAHARASHTRA,1924,MAR,2.8,3.596521739130435,-0.7965217391304353,77.85299806576401
MADHYA MAHARASHTRA,1925,MAR,3.1,3.596521739130435,-0.49652173913043507,86.1943907156673
MADHYA MAHARASHTRA,1926,MAR,0.1,3.596521739130435,-3.496521739130435,2.7804642166344293
MADHYA MAHARASHTRA,1927,MAR,0.9,3.596521739130435,-2.6965217391304352,25.024177949709863
MADHYA MAHARASHTRA,1928,MAR,3.7,3.596521739130435,0.10347826086956502,102.87717601547388
MADHYA MAHARASHTRA,1929,MAR,2.0,3.596521739130435,-1.5965217391304352,55.60928433268858
MADHYA MAHARASHTRA,1930,MAR,0.7,3.596521739130435,-2.896521739130435,19.463249516441003
MADHYA MAHARASHTRA,1931,MAR,0.6,3.596521739130435,-2.996521739130435,16.682785299806575
MADHYA MAHARASHTRA,1932,MAR,8.6,3.596521739130435,5.0034782608695645,239.11992263056086
MADHYA MAHARASHTRA,1933,MAR,3.4,3.596521739130435,-0.19652173913043525,94.5357833655706
MADHYA MAHARASHTRA,1934,MAR,1.9,3.596521739130435,-1.6965217391304352,52.82882011605415
MADHYA MAHARASHTRA,1935,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1936,MAR,4.3,3.596521739130435,0.7034782608695647,119.55996131528043
MADHYA MAHARASHTRA,1937,MAR,2.0,3.596521739130435,-1.5965217391304352,55.60928433268858
MADHYA MAHARASHTRA,1938,MAR,23.5,3.596521739130435,19.903478260869566,653.4090909090909
MADHYA MAHARASHTRA,1939,MAR,4.1,3.596521739130435,0.5034782608695645,113.99903288201159
MADHYA MAHARASHTRA,1940,MAR,0.5,3.596521739130435,-3.096521739130435,13.902321083172145
MADHYA MAHARASHTRA,1941,MAR,1.8,3.596521739130435,-1.7965217391304351,50.048355899419725
MADHYA MAHARASHTRA,1942,MAR,0.2,3.596521739130435,-3.396521739130435,5.560928433268859
MADHYA MAHARASHTRA,1943,MAR,1.5,3.596521739130435,-2.096521739130435,41.706963249516434
MADHYA MAHARASHTRA,1944,MAR,10.3,3.596521739130435,6.7034782608695656,286.3878143133462
MADHYA MAHARASHTRA,1945,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
MADHYA MAHARASHTRA,1946,MAR,0.0,3.596521739130435,-3.596521739130435,0.0
